Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
(-)-Camphanic acid	426898.3163	412570.0325	332887.3672	848985.1578	522992.9889	1141793.65	1189066.28	1076517.281	1380959.494	541088.9072	487848.2532	1057604.009	538327.6798	250617.3888	807313.6407	1592515.771	1158209.622	1737640.661	2753078.778	5323094.809	4141965.24
"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid"	248051061.9	229924987.1	242713245.5	94572987.99	67695455.13	79038739.81	15483402.74	11697531.23	12075716.71	10110320.12	12351143.67	13094492.28	9310215.07	9406965.677	9194234.36	3387968.127	4150833.94	4700247.288	63789096.61	51208963.37	86431475.57
"(1R,9R)-N-(3-Fluorophenyl)-5-(2-naphthyl)-6-oxo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-diene-11-carboxamide"	1112286.692	694728.0664	1043601.331	133507.7498	86768.56757	126564.4624	70779.70749	71152.49701	72108.6072	67115.49149	78896.15473	74261.18508	61052.40697	64986.40955	73190.90968	77432.90027	80120.80177	95157.32633	5254737.091	7465273.163	9282409.447
"(1S,4R,6S)-1,3,3-Trimethyl-2-oxabicyclo[2.2.2]oct-6-yl hexopyranoside"	46804002.38	46556065.6	44287529.62	26524044.86	39076476.4	35169778.55	8105323.806	7751300.25	8284339.209	1101588.496	2369021.453	1620044.606	600776.9793	308392.1161	451245.034	1014864.504	442851.2068	468355.6844	2215664.698	4574032.068	3267444.595
"(1ξ)-1,5-Anhydro-1-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-8-yl]-D-galactitol"	104457562.2	90925611.49	26038563.2	43534208.23	57546792	36637330.95	67078722.84	75828426.31	42064573.04	150056101.5	151016550.7	101350704.6	41992762.16	53855801.43	29616925.24	47939365.28	37129021.16	32572822.88	56416968.22	59301072.9	47745784.63
(2-aminoethoxy)[2-hydroxy-3-(octadecanoyloxy)propoxy]phosphinic acid	54516173.75	56251590.8	57361757.46	13145791.01	11546881.17	17022345.72	10187567.51	8716453.548	7981454.641	10336997.8	9008365.543	12052015.99	6806314.721	6696693.993	6494101.351	5693763.425	7428969.646	6665561.73	12714607.03	4823131.516	8039798.261
"(2E,6E,10E)-14-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4-hydroxy-2,6,10,14-tetramethylhexadeca-2,6,10,15-tetraenoic acid"	3547932624	3615826561	3421306315	496528320	385982199.5	505457065	230598770.4	206517959.5	249790005.6	122765535.5	110896561.8	99461543.25	76976527.06	45762822.18	75943922.48	61644734.05	70085183.83	67388013.06	252648365	471190431.8	391604435.2
"(2R,3R)-2-(2,6-dihydroxyphenyl)-3,5,7-trihydroxy-2,3-dihydrochromen-4-one"	17273670.08	16436382.22	15910134.48	379322.7179	379940.523	346479.4191	274918.1274	283653.0416	247459.4115	223368.8316	195881.411	160000.4308	163433.3502	143647.7912	138038.3835	191551.9606	168865.7746	149699.7513	220087.5703	238856.8591	217152.6718
"(2R,3R)-3,5-dihydroxy-2-(4-hydroxyphenyl)-7-methoxy-2,3-dihydrochromen-4-one"	233179461.9	270992711.7	284020917.7	522309.6844	917019.1987	1364619.956	213649.7893	258842.2512	441148.3429	258684.4158	180719.0891	2670414.734	189551.0324	191044.7028	196151.741	246886.791	236743.0553	209874.953	248534.6267	243061.17	227082.5754
"(E)-3-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoic acid"	23558775.66	20225358.95	6164797.153	29949741.49	24466460.25	22304272.61	505054442.2	485424895.1	548396510.8	1223395468	1106408833	1094117010	1358972543	1264515852	1281136394	985285069.4	1000095530	962425552.4	1141053891	954308155.5	654534279.8
(R)-2-hydroxystearic acid	17186531.28	19327857.81	20188956.74	3776751.773	3160501.473	4936649.695	2621968.541	2506266.609	3284894.54	2984008.441	3147795.239	3718722.276	5433946.77	5431588.439	6831638.399	5005307.624	5328297.663	6229828.875	9293552.16	4999683.689	4432687.305
(R)-3-Hydroxy myristic acid	157572.9216	194101.115	177665.1402	211896.9488	226120.8868	209062.4349	528421.869	361728.9982	602398.206	3175624.514	5266950.072	4781770.308	2073486.008	1332580.866	1854632.163	1126002.32	1845138.317	1455674.026	939828.2975	1809141.368	2208562.807
(Z)-2-octylpent-2-enedioic acid	24693877.69	79920.0975	12930163.1	192380.7611	37180351.06	35260651.15	14525381.29	21790564.52	93653.65448	40710518.29	151435.2947	148344.9466	26836459.9	18099748.83	14069492.98	16815721.85	120909.2293	15448475.65	12354614.07	30681085.5	30242085.63
(Z)-3-(4-hydroxyphenyl)-N-[4-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]amino]butyl]prop-2-enamide	242005235	236354133.1	247517384.8	413382.3849	502494.829	464371.4652	392168.105	424992.9474	440781.8024	383084.7635	386315.1774	605443.8925	309197.0106	347658.2134	313446.0965	336699.4389	330176.6695	301062.6276	296056.1775	217589.7175	225691.834
(±)-Abscisic acid	3938750.946	3752162.992	4180006.702	3804969.084	3157840.262	3265792.987	6376313.153	5722402.513	5941402.545	6405622.762	6734859.691	6544885.415	4776371.946	5166135.031	4706151.681	28736265.58	27577063.06	32532643.15	19425268.13	19123294.44	21736918.01
(±)9-HpODE	21886424.22	20641198.31	22263502.2	42407278.3	31887218.44	31966245.74	2248579.374	2468830.08	2312314.925	2349207.332	3925650.126	2895698.887	944819.1776	460185.7366	414931.6649	387693.829	356575.8109	295855.7916	6230082.103	9288444.501	10973045.24
"1,2,3-cyclopropanetricarboxylic acid"	314994917.9	201432744.6	295806011.5	237547777.4	189605414.3	218660063.5	128604735.7	115327692.6	98296235.47	169260900.5	152505930.8	166226281.1	118600192.7	100107473.5	114936031.4	149358373.7	121261190.1	115973134.7	217823196.3	276805920.7	397286166.4
"1,4-Cyclohexanedicarboxylic acid"	16628711.29	12356152.35	16888843.87	17950197.11	18153513.67	25468929.07	48703216.88	59121426.14	65574000.11	22040630.29	31522238.67	20875030.58	5393796.185	5289342.807	4995718.496	2665237.364	3919969.638	3325521.196	10526169.11	9508494.249	7605371.582
"1-(4-hydroxyphenyl)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-1-one"	1439808.139	1613844.765	1515364.543	4297085.94	3283722.212	2919702.805	1908515.632	1978165.044	1405005.426	2314483.53	1216378.456	924206.4626	835443.334	1425392.077	1289211.041	1093899.294	620912.6747	736158.3726	1393490.477	770985.5888	1026886.025
"1-(β-D-Glucopyranosyloxy)-7-methyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylic acid"	17650616.91	12404415.73	16333444.54	7985679.216	11168853.46	8872934.007	12969392.68	14819481.58	18332298.07	7181669.798	11608257.41	8389756.718	7041030.065	5337620.73	6031313.558	24037853.34	14769780.06	25130618.89	48249099.87	100551702.5	74876914.36
"1-Cyclohexyl-3-[(1S,11aS)-5,11-dioxo-7-(2-thienyl)-2,3,5,10,11,11a-hexahydro-1H-pyrrolo[2,1-c][1,4]benzodiazepin-1-yl]urea"	165007.5433	213438.5576	237619.17	80525.74211	90160.99039	111772.6274	86515.57003	87483.72664	103529.7788	76954.40247	90249.97474	229828.6747	2556345.452	2562781.051	3345664.319	3634489.09	7062060.726	3471563.065	2468688.922	921135.6282	1635894.206
1-Myristoyl-2-Hydroxy-sn-Glycero-3-Phosphate (Sodium Salt) Sodium Salt	829136.2994	564353.9057	899525.9426	1488072.677	888949.1302	713630.2676	851835.5972	881419.0517	366659.3776	484498.1894	294528.1311	747206.5276	925589.5172	374291.3825	678779.6262	702847.8462	468247.2236	900466.0554	5554470.054	3725718.477	2460224.903
1-O-b-D-glucopyranosyl sinapate	19707338	24499754.81	27347864.45	79814415.26	126746676.7	75576938.6	122683973.6	176429947.7	106696414	449903427.7	354469744.6	378455653.6	413498128.7	377222364.6	395699835.9	400303300.3	413770465.2	557254295.2	271157667.2	437219314.2	337592512.1
"11,22-dimethyl (6E,17E)-3,14-dioxo-8,19-bis({[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy})-4,9,15,20-tetraoxatricyclo[16.4.0.0?,??]docosa-6,10,17,21-tetraene-11,22-dicarboxylate"	290149.5641	227114.4343	1103222.653	2499064.827	3899081.583	2795267.315	2526499.626	2094802.994	1774809.679	1397776.207	1192766.646	1026906.931	1067533.399	498954.3174	308675.9993	689873.4889	343020.0479	752356.8203	489194.0857	629678.1455	351324.9238
11-Deoxy prostaglandin F2β	853412.6624	981279.1714	716753.0129	220641.9974	2189949.096	128617.2501	5309575.662	4391219.244	4759720.07	3099509.074	4040806.778	11084409.26	64813499.39	69291842.92	80031509.11	87827507.02	186775951.9	86731708.94	83126806.54	27934859.98	49901843.24
"13,14-dihydro Prostaglandin F1?"	2214651.283	1961100.023	1877073.797	96514.4158	237508.5216	395674.7057	81087.21222	93480.89078	78362.71886	53681.73281	48515.06033	48681.17278	49635.90057	47308.6229	45990.47769	56868.33852	51061.01161	49144.18571	58191.02075	59182.4055	56309.83118
"16,17-Dihydroxykauran-18-oic acid"	3504229.303	4104664.605	4390250.237	9854177.214	5099184.225	10322469.34	1669283.918	2087675.321	849326.8514	588736.2684	218424.1023	151291.4389	286976.2955	211178.2577	71896.4843	80844.24029	303245.6905	100288.4227	643802.0815	490705.445	409739.502
"16-(Hexopyranosyloxy)-7-hydroxy-8,9-epoxypimaran-18-oic acid"	150112992.3	153924530.1	153812104.3	42412777.63	31234855.99	39487599.94	12695869.14	13473262.81	11852096.88	5811280.027	5439545.306	5821167.465	1642263.925	2968522.861	3140535.29	1862511.37	2750450.167	2065981.156	10210040.72	27089627.66	930311.4118
16-Hydroxyhexadecanoic acid	1977742444	2101971307	2072582238	337077986	291835771.4	372192440.2	130773180.6	137631509.3	123963563.6	39151848.8	49845183.04	45204349.26	17551294.05	17620359.26	18319771.77	26197512.83	30862249.92	22170877.39	78176263.49	47343642.96	86150635.17
19(R)-Hydroxy prostaglandin F2α	6005132.728	6344634.727	5501547.27	3483037.932	1590551.659	2587514.648	328555.9876	272685.7458	261310.1892	288151.5063	278586.4916	249121.1794	194084.9212	199186.6284	163985.4131	210211.1117	186436.293	160145.7828	235098.1791	181456.7199	167042.0498
2'-Deoxyguanosine 5'-monophosphate (dGMP)	1979769.403	1771972.308	1562698.643	6362401.818	9108632.125	5625432.147	23046997.61	19623652.74	21188379.24	17445912.15	16265378.55	20770599.66	5097165.595	6181422.844	6127869.246	4914845.73	5442797.8	5221099.624	4917910.739	8958576.193	3734360.816
2'-Deoxyinosine	4688381.066	4870758.727	5747541.332	80959.48517	163292.4214	75150.34147	217021.9302	290481.8229	64110.51816	75699.37998	320754.8621	171753.3653	187140.8973	139798.934	73198.54829	83648.25934	189184.7741	103031.5066	106056.7174	120419.8552	121529.7402
2'-O-Methyluridine	23555046.05	26879124.61	23981719.86	5359921.883	4063514.539	6238127.229	839889.7195	596799.1722	745441.5954	797087.8675	597742.651	547519.885	264016.6941	184588.3415	192832.688	311146.6102	129322.4045	381106.1416	2107227.05	1430760.901	1356050.553
"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)"	457754685.6	577378168.6	276657573.4	790806835.4	3100824239	1343349737	962403912.9	1181052299	858199228.7	634419610.9	661521488.5	847567821.9	937203128.4	761542065.7	421741912.3	655617274.3	1217446881	870553113.4	638094716.8	731098189.2	619490266.6
"2,3-Dihydro-1-benzofuran-2-carboxylic acid"	3925869.138	4246839.124	4642008.432	5479531.723	3069312.559	3597154.688	77412724.67	78496998.25	91288796.5	199288218.5	195168583.7	183272460.5	222457691.8	212510407.5	220281691.6	160610204.2	169948563.2	88334237.36	183385151.6	159038626.3	74927690.77
"2,4,6-Trihydroxy-2-(4-hydroxybenzyl)-1-benzofuran-3(2H)-one"	141439393.8	138357270.2	149904463.1	477858.8463	515684.8444	469280.511	342143.0052	356770.3238	390398.2343	368987.1672	358221.2501	344269.4555	281325.0629	338154.0379	269566.5214	317771.9454	289264.2812	246758.935	295518.1592	282659.7229	273898.3789
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl 6-O-β-D-xylopyranosyl-β-D-glucopyranoside"	6021130.835	4680544.024	9210411.424	2914866.202	1601205.821	1223941.235	1858701.345	700926.4671	464864.5086	203943.8163	378930.0249	191334.3318	196643.77	277430.5453	197698.0585	156875.1587	185606.411	171177.1779	309420.1285	1012905.594	1053696.565
