Name	00D_1	00D_2	00D_3	07D_1	07D_2	07D_3	16D_1	16D_2	16D_3	30D_1	30D_2	30D_3	50D_1	50D_2	50D_3	55D_1	55D_2	55D_3	60D_1	60D_2	60D_3
BC332_02665_mrna	2.03256	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
BC332_23523_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_07937_mrna	4.0	28.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_22010_mrna	148.0	164.0	77.0	259.0	186.0	207.0	271.0	289.0	290.0	240.0	251.0	221.0	375.0	460.0	433.0	582.0	594.0	651.0	595.0	394.0	503.0
BC332_14200_mrna	536.0	481.0	280.0	466.0	463.0	538.0	390.0	258.0	393.0	310.0	292.0	249.0	194.0	256.0	280.0	220.0	249.0	296.0	261.0	359.0	222.0
BC332_26863_mrna	35.0	791.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	40.0	197.0	92.0	256.0	74.0	134.0
BC332_27699_mrna	1700.0	1534.0	1044.0	2055.0	1900.0	2185.0	2550.0	2068.0	2517.0	2871.0	2483.0	2469.0	2353.0	2867.0	2566.0	1817.0	1686.0	1753.0	2102.0	2453.0	1928.0
BC332_02557_mrna	8.0	4.0	7.0	6.0	2.0	8.0	5.0	0.0	0.0	3.0	2.0	2.0	31.0	54.0	18.0	7.0	20.0	13.0	3.0	2.0	0.0
BC332_32107_mrna	7818.58	7910.29	4779.36	8176.02	7589.82	8886.99	8458.31	6005.75	8729.43	14860.9	10404.3	14251.6	9926.02	12259.7	13408.0	4666.16	5529.09	5460.05	6678.15	8552.12	4450.49
BC332_18393_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_11887_mrna	75.0	89.0	50.0	159.0	193.0	240.0	131.0	71.0	105.0	35.0	46.0	37.0	14.0	36.0	43.0	7.0	9.0	12.0	11.0	12.0	13.0
BC332_33646_mrna	396.0	354.0	237.0	710.0	760.0	702.0	550.0	444.0	476.0	412.0	372.0	379.0	344.0	329.0	418.0	82.0	99.0	121.0	209.0	417.0	237.0
BC332_21883_mrna	1407.0	1687.0	973.0	1526.0	1347.0	1247.0	1718.0	1304.0	2025.0	4592.0	4052.0	3299.0	733.0	767.0	1766.0	339.0	285.0	324.0	669.0	846.0	597.0
BC332_18516_mrna	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	5.0	10.0	5.0	26.0	0.0	3.0	3.0	0.0	0.0	0.0
BC332_23006_mrna	79.0	78.0	37.0	129.0	90.0	56.0	43.0	61.0	58.0	54.2597	48.0	44.0	34.0	42.0	46.0	24.0	29.0	19.0	23.0	12.0	35.0
BC332_28367_mrna	64.0	64.0	71.0	132.0	151.0	134.0	151.0	113.0	137.0	168.0	150.0	146.0	104.0	60.0	190.0	18.0	2.0	6.0	62.0	36.0	41.0
BC332_28975_mrna	52.0	21.0	24.0	95.0	94.0	81.0	72.0	59.0	85.0	80.0	69.0	58.0	30.0	29.0	54.0	17.0	22.0	19.0	45.0	22.0	52.0
BC332_19407_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_10786_mrna	12.0	2.0	4.0	35.0	31.0	7.0	13.0	15.0	34.0	14.0	43.0	27.0	22.0	40.0	19.0	14.0	13.0	24.0	15.0	0.0	17.0
BC332_21095_mrna	1267.0	1124.0	706.0	778.0	697.0	1189.0	249.0	210.0	256.0	133.0	137.0	127.0	36.0	35.0	71.0	20.0	40.0	63.0	28.0	20.0	31.0
BC332_25434_mrna	1352.0	1173.0	773.0	425.0	238.0	280.0	297.0	430.0	932.0	2481.0	1733.0	2494.0	328.0	569.0	911.0	6.0	36.0	17.0	2.0	9.0	0.0
BC332_02425_mrna	88.663	45.3216	38.3353	21.0	16.0	15.0	2.0	4.0	9.0	9.80795	6.0	8.0	17.1169	13.9051	12.7154	10.9055	15.0	26.0	5.0	2.0	16.0
BC332_12242_mrna	421.0	354.0	248.0	1542.0	1113.0	1036.0	472.0	297.0	489.0	84.0	126.0	99.0	21.0	155.0	92.0	18.0	59.0	77.0	98.0	123.0	83.0
BC332_19449_mrna	14.0	4.0	9.0	82.0	87.0	82.0	28.0	23.0	13.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
BC332_20949_mrna	360.0	270.0	157.0	331.0	376.0	362.0	378.0	360.0	437.0	378.0	412.0	357.0	243.0	397.0	325.0	205.0	280.0	279.0	197.0	263.0	155.0
BC332_16161_mrna	26.0	31.0	13.0	39.0	13.0	6.0	15.0	16.0	26.0	32.0	18.0	22.0	23.2419	22.1082	40.0	13.06	15.0	19.0	34.0	13.0	21.0
BC332_16376_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_34964_mrna	473.677	430.507	262.245	214.611	235.377	387.985	114.124	44.9959	96.034	61.1696	78.016	37.4597	33.1511	64.4382	59.7254	21.5422	47.505	48.7434	54.8643	155.291	54.9426
BC332_25106_mrna	16.0	4.0	7.0	13.0	16.0	19.0	18.0	13.0	10.0	20.0	10.0	16.0	2.0	6.0	18.0	0.0	0.0	0.0	0.0	0.0	1.0
BC332_03354_mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BC332_07936_mrna	1.0	0.0	1.0	1.0	4.0	2.0	2.0	1.0	7.0	2.0	17.0	4.0	15.0	7.0	14.0	2.0	3.0	7.0	4.0	0.0	0.0
BC332_09995_mrna	1481.0	1415.0	846.0	1700.0	2023.0	2107.0	2497.0	1689.0	2699.0	2427.0	2151.0	2224.0	1170.0	2339.0	1685.0	277.0	226.0	268.0	712.0	851.0	551.0
