Name,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28
Inosine,0.7,0.485,0.415,0.255,0.51,0.205,0.225,0.205,0.215,0.16,0.27,0.305,0.5,0.46,0.6000000000000001,1.145,0.87,1.275,1.615,2.2750000000000004,1.805,2.185,2.3,2.585,6.36,0.4549999999999999,0.3299999999999999,0.335,0.79
Inosine diphosphate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isopentenyl diphosphate / Dimethylallyl diphosphate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leucine/Isoleucine,245.5125,176.55,136.54500000000002,146.705,314.295,140.95499999999998,174.935,233.705,452.77,791.825,578.73,718.91,649.39,675.92,700.3399999999999,744.885,647.55,737.9100000000001,828.855,750.4200000000001,925.38,915.27,792.03,1440.05,2045.555,1932.38,1616.73,212.08,132.7
Lysine,666.9,609.955,899.2149999999999,932.995,1328.99,1070.08,893.54,908.945,950.025,1096.87,1328.355,1366.36,1937.28,2311.635,2649.4300000000003,2998.7700000000004,2739.0550000000003,3049.405,3214.04,3521.91,3168.69,2679.88,2374.965,2738.15,666.82,360.605,918.145,699.6949999999999,388.695
Malate,2124.92,548.915,274.48,251.06,218.09,106.94,95.985,71.475,84.95,85.91,81.08500000000001,83.995,93.965,80.475,100.185,75.07499999999999,75.9,61.37,58.295,74.94999999999999,58.7,60.845,70.38,58.82,1059.675,2048.805,1754.81,1523.14,1982.985
Methionine,54.975,53.26,30.535000000000004,39.455,51.595,30.8,31.21,27.51,27.96,28.285,32.125,59.665,109.105,105.87,133.7,162.14999999999998,206.915,238.9,383.67,364.725,470.165,366.385,400.435,491.04,441.045,356.705,33.5,31.575,31.07
N2-Succinyl-arginine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N2-Succinyl-glutamate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Acetyl-D-Glucosamine-P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Acetyl-Glutamic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-acetylmuramate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Acetyl-Ornithine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Acetylputrescine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAD,2124.925,1680.925,1897.985,1891.995,1714.675,1965.715,2217.515,2056.655,2508.61,2333.135,2142.19,2488.25,2589.405,2398.46,3186.795,3058.87,2407.525,2758.835,2893.995,2783.06,3093.695,2863.175,3075.275,2968.83,2426.875,2617.895,2594.375,2472.01,2041.895
NADH,25.9475,6.885,8.315,6.355,8.215,4.26,7.834999999999999,6.19,5.77,4.9350000000000005,3.1100000000000003,4.7,5.734999999999999,8.149999999999999,6.28,6.39,8.344999999999999,8.06,7.15,4.585,3.99,7.835,4.359999999999999,4.7,30.24,27.105,17.814999999999998,13.795,57.13
NADP,219.31,230.385,335.545,195.68,182.03,208.29,321.675,255.2,251.455,253.55,381.275,255.14,305.595,278.76,220.395,297.74,208.215,242.835,226.24,190.51,184.0,171.975,307.67,244.93,167.64499999999998,118.955,119.53,91.35,114.505
NADPH,180.42,106.315,119.27,206.835,95.855,72.595,42.150000000000006,34.37,49.175,41.685,60.0,53.56999999999999,67.08500000000001,75.72,16.285,46.650000000000006,39.72,41.565,23.565,42.235,42.38,37.605,34.3,27.695,701.255,327.68,297.155,232.94,143.975
N-Carbamoyl-aspartate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N-Succinyl-2-amino-6-oxopimelate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O-Acetyl-Serine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ornithine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orotate,5470.6625,799.325,1078.61,339.565,275.64,297.6,296.355,351.04,547.05,456.715,477.23,448.325,473.245,532.505,400.065,418.215,335.825,327.31,487.355,414.315,592.0450000000001,458.725,435.49,642.245,600.625,378.5700000000001,393.205,422.6,1004.275
O-Succinyl-homoserine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxidized glutathione,324.83000000000004,727.565,848.835,716.49,558.715,755.645,661.095,720.24,584.37,609.1700000000001,624.505,579.365,648.3,466.1,618.66,608.105,457.435,398.22,366.205,291.285,334.475,335.185,326.15,332.58,422.415,391.01,270.275,153.13,254.375
Pentose-P,165.3275,19.86,15.775,9.62,9.28,10.425,11.53,8.115,6.34,6.720000000000001,4.095,4.98,4.3,5.365,4.779999999999999,5.46,4.44,5.1,4.484999999999999,7.145,9.64,9.095,9.43,11.085,63.48,87.82,134.63,167.055,265.285
Phenylalanine,102.9,73.125,72.80000000000001,103.955,229.705,91.2,127.775,202.915,377.855,665.615,709.37,1016.785,985.605,861.625,841.655,897.425,866.41,761.035,1090.975,1061.835,996.61,994.35,1012.06,1158.585,1274.27,1274.31,1272.2199999999998,101.805,70.095
Phosphoenolpyruvate,143.805,3301.45,3807.89,1583.14,1724.405,3512.005,3333.735,3392.155,3362.435,2932.52,2809.56,3143.705,2845.07,2721.96,2423.235,2630.95,2222.83,2510.485,1982.675,1907.05,1699.71,1680.74,1219.6799999999998,1773.76,178.385,146.06,151.555,152.885,93.975
Phosphoribosyl-ATP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-Hydroxybenzoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proline,390.0475,136.555,81.43,119.025,210.72,94.065,81.28,81.75999999999999,103.59,192.12,133.725,123.885,139.105,114.325,131.135,143.095,126.435,97.1,127.29,100.085,73.035,78.695,65.54499999999999,62.11,174.725,228.225,386.03,396.355,407.125
Propionyl-CoA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Protoheme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pyridoxamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pyridoxamine 5-Phosphate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reduced glutathione,6916.2875,5683.015,4985.67,5812.375,6575.695,7053.51,6496.17,6437.29,5284.73,6145.04,6084.59,5315.145,5508.6900000000005,5016.335,5003.875,5742.030000000001,5502.985,5185.145,5251.139999999999,4756.389999999999,4462.1,4936.81,4988.34,4673.895,4390.005,3937.095,2624.675,891.51,2779.755
Riboflavin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Adenosyl-homocysteine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-Adenosylmethionine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seduheptulose 7-P,161.73000000000002,53.13,43.45,40.1,46.405,55.7,40.87,26.875,16.975,19.885,14.475,12.6,6.555,7.535,10.105,11.09,8.545,6.035,6.635,9.21,7.54,4.92,8.36,8.504999999999999,138.06,194.53,182.615,143.36,138.905
Semicarbazide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serine,450.0075,343.165,219.765,214.22,1243.495,233.255,239.175,202.905,591.15,277.125,227.135,181.065,255.15500000000003,194.965,172.285,348.795,166.20499999999998,198.74,322.32,222.63,234.195,188.595,194.405,183.09,378.055,408.975,484.025,386.46,277.015
