Name,0010-04-02,0011-04-02,0011-07-18,0011-09-26,0011-11-21,0011-12-04,0012-01-05,0012-02-06,0012-03-09,0012-04-02,0012-06-02,0012-10-28,0012-11-01,0012-12-07,0013-01-22,0013-02-06,0013-04-11,0013-06-05,0013-08-07,0013-10-03,0013-11-01,0013-12-18,0014-01-08,0014-03-21,0014-04-24,0014-06-02,0014-08-04,0014-09-12,0014-11-18,0014-12-13,0015-01-05,0015-03-31,0015-06-17,0015-07-01,0015-08-11,0015-09-08,0015-10-13,0015-12-15,0016-01-05,0016-02-24,0016-04-21,0016-05-09,0016-06-09,0016-07-05,0016-08-22,0016-10-04,0016-12-19
ABCF1,2.663468,2.5328545,0.9630762,2.531617,3.06245,0,2.390154,1.170351,2.5608867,0.8092337,0.8465218,0,2.272706,1.3833054,4.352831,0.916282,3.151366,0,2.0815878,1.831209,3.184336,1.028578,3.8929158,0,0,2.0757471,2.2962095,0,1.322655,1.3976003,1.507901,3.459019,1.081674,2.768485,1.2299333,0.6049488,2.9646629,0,2.171211,2.165256,1.1032501,1.628196,1.1458665,0.8507861,1.3946916,2.223154,2.326671
ABCF2,0.917819,0,0,1.134581,1.036016,2.177571,0,1.807903,0.6893777,1.3245577,0.8465218,0,1.544062,0,2.771866,0.916282,2.645389,1.226998,0,1.831209,1.484321,2.367384,2.9058746,1.915722,2.207505,0,0,0.9565661,0.8078742,0.8618085,0,1.807031,1.081674,0,0,0,2.5271957,0,0,0,0.6546103,0,0,1.3823721,0,0.939063,0.850634
ABCG1,0.917819,1.7628072,0,0,2.053692,0,0,0,0,2.0032863,1.7631913,0.804677,2.754552,0.8514607,1.557436,0,1.859302,1.880329,0,2.27427,0.925185,0,1.8471503,0,0,0.8511247,0,0,0.8078742,0.8618085,1.507901,0,0,1.112889,0,0,0.7490133,0,0,1.732764,0,0.763061,0,0,1.3946916,0,0.850634
ABHD1,4.538006,5.4358468,4.9275802,5.537011,4.823469,4.867467,4.473181,5.066833,5.3726316,5.405156,4.2748351,4.242001,5.365938,5.6456999,5.088995,4.691694,5.428046,5.411583,5.5811872,5.202298,4.805696,4.301603,4.4161724,4.698065,4.904488,4.6036735,5.3608725,5.5859919,4.3049308,5.4155918,5.311908,4.700004,5.011752,5.534453,5.704079,5.3244274,4.1156518,5.159465,4.382396,4.852182,5.8824782,4.7808,5.2703976,5.5234072,5.2960573,5.164172,5.118456
ABHD11,0,0.8462802,1.5355177,0,0,0,1.271452,0,1.5047543,1.3245577,0.8465218,0,2.754552,0.8514607,1.557436,0.916282,0,0,2.0815878,0,0.925185,1.622941,1.2009713,1.915722,0,1.7704993,0,0,1.322655,1.3976003,0,1.169673,0,0,1.0066004,1.0298765,0.7490133,0,0,0,1.1032501,0,0,0.8507861,1.3946916,0.939063,0.850634
ABHD12,0.917819,2.0674451,1.5355177,2.80276,1.036016,0,1.936625,1.170351,0,0,0.8465218,1.318178,2.272706,0,3.868204,0.916282,0,2.328372,1.3875633,1.188512,0.925185,1.622941,2.414085,1.915722,2.207505,2.8936056,0,0,1.322655,0.8618085,2.228948,3.284995,0,1.112889,0.7422484,1.8498487,3.0852671,2.346829,3.19787,0,2.3274962,1.628196,1.7763482,2.0751675,2.0903951,0.939063,1.382162
ABHD12B,3.544867,2.8841827,2.7434661,3.030917,2.868557,3.294221,3.245536,3.28609,2.9520475,3.0913283,3.2898,2.454315,1.544062,3.5180629,1.557436,2.660717,0,2.945603,4.1012836,4.031229,3.85638,3.752764,4.0891853,1.915722,5.06905,5.1195255,4.554099,2.9231105,3.0885317,3.062784,3.797814,3.087063,3.465768,3.192113,2.885851,2.5080033,3.8691666,3.613459,3.908434,2.994746,1.9526889,2.994738,2.6909879,2.3269447,2.9102134,3.692056,3.298105
ABHD15,4.790653,4.0838249,4.321152,4.567753,4.315424,4.46881,3.622035,3.615414,4.2763205,4.4135652,3.6973744,3.924892,6.680263,4.0947881,5.004179,5.737348,5.670673,4.095041,4.790251,4.986421,4.709841,5.009005,4.6825697,4.698065,4.505418,5.2773754,3.6707235,4.5005319,4.6010743,3.9737646,4.642209,5.357109,3.955534,3.192113,4.5975869,4.2258488,5.2896872,4.029138,4.117035,3.191047,4.6505353,3.759963,3.7145642,4.7393873,3.7246422,4.130197,4.649546
ABHD16A,1.474314,0.8462802,1.5355177,1.761752,1.036016,1.465691,0,1.170351,0.6893777,0,2.3192719,1.696111,2.754552,1.7710322,0,1.472223,0,1.226998,0,1.188512,1.484321,1.622941,2.631285,1.915722,0,1.7704993,0.9839797,0.9565661,0,1.7874094,1.507901,2.247569,1.692865,0,2.3324744,0.6049488,1.8962997,1.015614,2.171211,1.732764,1.4449702,0,1.7763482,0.8507861,1.784079,0.939063,2.074907
ABHD16B,6.136726,6.3072503,5.7844869,5.953567,5.561464,5.10757,5.292016,3.883358,5.3293252,5.8622857,4.686107,5.540772,7.196006,4.942988,6.753305,6.414276,6.69355,5.317704,5.7852417,5.933603,5.521879,6.100153,5.2891836,5.819171,7.222738,7.1789068,6.0975279,5.5574584,4.9553686,5.2079654,6.423278,6.933241,5.324709,5.704941,5.5978602,5.4840633,6.4161596,5.888511,6.174891,5.533282,5.7806756,5.826981,5.9025635,5.7979693,5.6867534,5.760285,6.179772
ABHD17A,1.474314,1.376134,1.5355177,0,1.632787,0,0,0,1.1539192,0.8092337,0.8465218,0,0,0.8514607,1.557436,2.185544,1.859302,0,0.8545399,2.886722,1.484321,1.622941,3.6155946,1.915722,2.207505,1.7704993,1.5635623,0,0.8078742,0.8618085,0,1.169673,0,0,1.0066004,1.3577064,2.5271957,1.015614,1.738123,0,0.6546103,0,0,0.8507861,0.8597006,1.503128,0.850634
ABHD2,7.144685,7.3413417,6.9701582,6.629866,6.890719,7.318101,6.742186,6.641004,7.3188612,7.5855578,7.0862863,6.721723,5.365938,7.3529176,4.914064,6.221904,6.001796,7.034051,7.5768453,6.951878,6.976718,6.770317,6.7599463,6.24549,6.19722,6.5210736,7.825901,7.7825374,6.2203636,7.2342775,7.023224,6.404693,6.757331,7.271346,7.6327128,7.0921275,6.2711271,7.269261,7.016591,6.955974,7.2260787,7.133579,7.8315715,7.186134,7.2834193,6.953217,7.433834
ABHD8,2.663468,2.3188365,0,3.401137,2.868557,1.465691,2.390154,1.807903,1.7867432,0,1.7631913,1.99531,2.754552,0.8514607,2.288832,2.442606,1.859302,2.328372,0.8545399,2.27427,2.200288,2.856004,1.6621629,2.710625,2.207505,2.0757471,1.9759024,2.2517921,2.6448738,2.093986,3.066234,3.754468,1.692865,1.7336,2.0098894,2.044586,2.6882126,2.023357,1.738123,1.112246,1.9526889,0.763061,1.7763482,2.0751675,1.784079,1.907601,1.382162
ABI1,3.749491,3.2893111,3.7380121,3.030917,4.653222,3.916061,3.245536,2.858642,3.6598296,3.5275617,2.533305,2.948749,3.115129,4.0947881,3.662184,2.660717,4.277854,3.848793,3.419294,2.27427,3.32038,4.301603,4.2619231,0,4.505418,3.5173748,3.1413203,3.5043074,2.9552514,3.062784,3.797814,4.108097,3.465768,3.519171,3.819589,3.1397758,4.1712128,3.487695,4.117035,3.36381,4.0940113,2.994738,3.2463365,3.2984115,3.4297419,4.130197,3.298105
ABI2,2.663468,1.7628072,2.2623877,3.030917,2.644499,2.652112,2.734694,1.170351,2.5608867,0.8092337,2.8846535,1.99531,1.544062,1.7710322,2.288832,1.472223,2.645389,1.226998,2.5482127,2.27427,3.184336,2.856004,2.011091,1.915722,2.207505,3.2990942,1.9759024,1.9343488,2.6448738,2.7487199,1.507901,2.247569,0,1.112889,1.2299333,1.624662,3.4866686,2.023357,1.116368,1.112246,1.1032501,2.994738,1.4952781,1.3823721,1.3946916,1.907601,2.54096
ABI3,3.306346,4.0142953,3.5165301,2.531617,3.766244,3.008599,1.271452,3.28609,2.9520475,4.0041067,3.7835163,2.801994,3.115129,2.894258,1.557436,3.303409,2.645389,2.945603,2.9002304,3.116873,2.866412,3.049645,3.3352271,3.220187,3.951871,3.5173748,3.6707235,2.7320763,2.8083933,3.637194,3.353295,2.85759,3.465768,2.498541,3.5970403,2.044586,2.6882126,3.487695,1.738123,3.36381,3.0814213,3.901277,3.8420424,3.4116703,3.0586552,4.130197,3.792094
ABI3BP,4.362025,3.864296,2.9347496,3.939845,3.386123,3.916061,4.725349,3.883358,2.4027534,2.6475363,4.2140884,3.775559,3.403366,3.042459,2.771866,3.647797,5.240181,3.848793,3.3059708,2.886722,4.102717,3.959785,3.2719674,3.595994,5.216749,4.6036735,3.1413203,1.9343488,4.2490751,4.6265638,3.066234,4.953757,4.055792,2.995792,2.8186516,3.6983596,3.9976669,4.351451,4.117035,5.533282,3.6419868,4.35885,3.646336,3.7062266,3.5348837,3.471202,3.51637
ABL1,0,0.8462802,0.9630762,1.134581,0,0,0,0,1.5047543,0.8092337,0,0,0,0,2.288832,0.916282,0,1.880329,0,0,1.484321,1.028578,2.5267686,0,0,0.8511247,0,0,0,0.8618085,0,1.169673,0,0,0,0,0.7490133,0,1.738123,0,0,0.763061,0,0,0,0.939063,0.850634
