Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
BC332_11547_mrna,72.0,41.0,40.0,44.0,46.0,59.0
BC332_09421_mrna,335.0,178.0,345.0,537.0,370.0,899.0
BC332_24980_mrna,1073.0,1001.0,862.0,837.0,834.0,1026.0
BC332_25506_mrna,26.0,19.0,8.0,2.0,5.0,9.0
BC332_04474_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_31843_mrna,553.0,509.0,492.0,626.0,743.0,669.0
BC332_08768_mrna,215.0,275.0,205.0,108.0,179.0,210.0
BC332_09970_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_33170_mrna,309.0,241.0,251.0,329.0,401.0,290.0
BC332_11160_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_08287_mrna,914.0,1058.0,996.0,675.0,258.0,1037.0
BC332_00718_mrna,0.0,0.0,2.0,0.0,0.0,1.0
BC332_13144_mrna,335.0,306.0,346.0,406.0,387.0,496.0
BC332_03318_mrna,5.0,3.0,4.0,0.0,3.0,0.0
BC332_33230_mrna,33.0,42.0,32.0,45.0,32.0545,40.0
BC332_17465_mrna,0.0,3.0,0.0,1.0,2.0,7.0
BC332_30269_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_26857_mrna,37.0,36.0,32.0,77.0,17.0,34.0
BC332_04074_mrna,9821.14,8688.4,6784.59,15635.7,12907.4,16165.2
BC332_24446_mrna,188.0,195.0,150.0,160.0,234.0,213.0
BC332_28902_mrna,26.6866,38.285,20.0471,18.0,23.0,30.3634
BC332_04135_mrna,10691.0,8230.0,9171.0,6151.0,6871.0,8383.0
BC332_29868_mrna,198.466,188.0,137.873,96.0,130.0,123.432
BC332_12246_mrna,637.0,562.0,642.0,1441.0,1176.0,1703.0
BC332_19384_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_30994_mrna,0.0,0.0,0.0,0.0,0.0,1.0
BC332_10392_mrna,135.0,136.0,96.0,103.0,159.0,120.0
BC332_13364_mrna,2.0,0.0,0.0,0.0,0.0,1.0
BC332_30031_mrna,10.0,12.0,17.0,8.0,5.0,19.0
BC332_21392_mrna,592.0,430.0,467.0,436.0,515.0,536.0
BC332_07782_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_02497_mrna,308.0,205.0,184.0,186.0,214.0,203.0
BC332_10822_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_07996_mrna,0.0,1.0,3.0,1.0,3.0,0.0
BC332_30636_mrna,185.0,146.0,174.0,68.0,85.0,113.0
BC332_24732_mrna,0.0,0.0,1.04655,0.0,0.0,8.69802
BC332_15921_mrna,84.0,59.0,68.0,3.0,10.0,7.0
BC332_21333_mrna,2.0,0.0,0.0,2.0,15.0,1.0
BC332_25454_mrna,329.0,308.0,252.0,709.0,939.0,1200.0
BC332_24937_mrna,2356.0,2181.0,2298.0,4320.0,7878.0,4718.0
BC332_01420_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_11107_mrna,228.0,205.0,195.0,163.0,183.0,168.0
BC332_27760_mrna,0.0,0.0,0.0,0.0,0.0,0.0
BC332_14764_mrna,3.46796,6.49314,1.75282,1.75534,8.18445,4.0603
